dis_no,year,seq,glide,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,event_name,country,iso,region,continent,location,origin,associated_dis,associated_dis2,ofda_response,appeal,declaration,aid_contribution,dis_mag_value,dis_mag_scale,latitude,longitude,local_time,river_basin,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,no_injured,no_affected,no_homeless,total_affected,reconstruction_costs_000_us,reconstruction_costs_adjusted_000_us,insured_damages_000_us,insured_damages_adjusted_000_us,total_damages_000_us,total_damages_adjusted_000_us,cpi,adm_level,admin1_code,admin2_code,geo_locations,adm1_name,adm2_name,uf,nome_uf,codigo_municipio_completo,nome_municipio
1948-0027-BRA,1948,0027,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1948,12,NA,1948,12,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8866385438075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-0024-BRA,1949,0024,NA,Natural,Meteorological,Storm,NA,NA,NA,Brazil,BRA,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1949,5,NA,1949,5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8004799983688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-0030-BRA,1956,0030,NA,Natural,Hydrological,Landslide,Landslide,NA,NA,Brazil,BRA,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1956,3,NA,1956,3,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0318740432976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-0033-BRA,1956,0033,NA,Natural,Hydrological,Landslide,Landslide,NA,NA,Brazil,BRA,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1956,3,NA,1956,3,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0318740432976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-0042-BRA,1957,0042,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1957,12,NA,1957,12,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3670850645091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-0042-BRA,1959,0042,NA,Natural,Meteorological,Storm,NA,NA,NA,Brazil,BRA,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1959,8,NA,1959,8,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.75766455281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-0047-BRA,1959,0047,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1959,9,NA,1959,9,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.75766455281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964-0005-BRA,1964,0005,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,Bahia state,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1964,1,NA,1964,1,NA,100,NA,100000,NA,100000,NA,NA,NA,NA,NA,NA,11.4465427509293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964-0022-BRA,1964,0022,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,Northeastern states,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1964,4,NA,1964,4,NA,NA,NA,15000,NA,15000,NA,NA,NA,NA,NA,NA,11.4465427509293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964-0041-BRA,1964,0041,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,"Paraiba, Rio Grande Do Norte",NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1964,7,5,1964,7,5,NA,NA,5000,NA,5000,NA,NA,NA,NA,500,4368,11.4465427509293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
