gaul_adm2,adm2_name,gaul_adm1,adm1_name
6333,Acrelandia,665,Acre
6334,Assis Brasil,665,Acre
6335,Brasileia,665,Acre
6336,Bujari,665,Acre
6337,Capixaba,665,Acre
6338,Cruzeiro Do Sul,665,Acre
6339,Epitaciolandia,665,Acre
6340,Feijo,665,Acre
6341,Jordao,665,Acre
6342,Mancio Lima,665,Acre
6343,Manoel Urbano,665,Acre
6344,Marechal Thaumaturgo,665,Acre
6345,Placido De Castro,665,Acre
6346,Porto Acre,665,Acre
6347,Porto Walter,665,Acre
6348,Rio Branco,665,Acre
6349,Rodrigues Alves,665,Acre
6350,Santa Rosa Do Purus,665,Acre
6351,Sena Madureira,665,Acre
6352,Senador Guiomard,665,Acre
6353,Tarauaca,665,Acre
6354,Xapuri,665,Acre
6355,Agua Branca,666,Alagoas
6356,Anadia,666,Alagoas
6357,Arapiraca,666,Alagoas
6358,Atalaia,666,Alagoas
6359,Barra De Santo Antonio,666,Alagoas
6360,Barra De Sao Miguel,666,Alagoas
6361,Batalha,666,Alagoas
6362,Belem,666,Alagoas
6363,Belo Monte,666,Alagoas
6364,Boca Da Mata,666,Alagoas
6365,Branquinha,666,Alagoas
6366,Cacimbinhas,666,Alagoas
6367,Cajueiro,666,Alagoas
6368,Campestre,666,Alagoas
6369,Campo Alegre,666,Alagoas
6370,Campo Grande,666,Alagoas
6371,Canapi,666,Alagoas
6372,Capela,666,Alagoas
6373,Carneiros,666,Alagoas
6374,Cha Preta,666,Alagoas
6375,Coite Do Noia,666,Alagoas
6376,Colonia Leopoldina,666,Alagoas
6377,Coqueiro Seco,666,Alagoas
6378,Coruripe,666,Alagoas
6379,Craibas,666,Alagoas
6380,Delmiro Gouveia,666,Alagoas
6381,Dois Riachos,666,Alagoas
6382,Estrela De Alagoas,666,Alagoas
6383,Feira Grande,666,Alagoas
6384,Feliz Deserto,666,Alagoas
6385,Flexeiras,666,Alagoas
6386,Girau Do Ponciano,666,Alagoas
6387,Ibateguara,666,Alagoas
6388,Igaci,666,Alagoas
6389,Igreja Nova,666,Alagoas
6390,Inhapi,666,Alagoas
6391,Jacare Dos Homens,666,Alagoas
6392,Jacuipe,666,Alagoas
6393,Japaratinga,666,Alagoas
6394,Jaramataia,666,Alagoas
6395,Joaquim Gomes,666,Alagoas
6396,Jundia,666,Alagoas
6397,Junqueiro,666,Alagoas
6398,Lagoa Da Canoa,666,Alagoas
6399,Limoeiro De Anadia,666,Alagoas
6400,Maceio,666,Alagoas
6401,Major Isidoro,666,Alagoas
6402,Mar Vermelho,666,Alagoas
6403,Maragogi,666,Alagoas
6404,Maravilha,666,Alagoas
6405,Marechal Deodoro,666,Alagoas
6406,Maribondo,666,Alagoas
6407,Mata Grande,666,Alagoas
6408,Matriz De Camaragibe,666,Alagoas
6409,Messias,666,Alagoas
6410,Minador Do Negrao,666,Alagoas
6411,Monteiropolis,666,Alagoas
6412,Murici,666,Alagoas
6413,Novo Lino,666,Alagoas
6414,Olho D'agua Das Flores,666,Alagoas
6415,Olho D'agua Do Casado,666,Alagoas
6416,Olho D'agua Grande,666,Alagoas
6417,Olivenca,666,Alagoas
6418,Ouro Branco,666,Alagoas
6419,Palestina,666,Alagoas
6420,Palmeira Dos Indios,666,Alagoas
6421,Pao De Acucar,666,Alagoas
6422,Pariconha,666,Alagoas
6423,Paripueira,666,Alagoas
6424,Passo De Camaragibe,666,Alagoas
6425,Paulo Jacinto,666,Alagoas
6426,Penedo,666,Alagoas
6427,Piacabucu,666,Alagoas
6428,Pilar,666,Alagoas
6429,Pindoba,666,Alagoas
6430,Piranhas,666,Alagoas
6431,Poco Das Trincheiras,666,Alagoas
6432,Porto Calvo,666,Alagoas
6433,Porto De Pedras,666,Alagoas
6434,Porto Real Do Colegio,666,Alagoas
6435,Quebrangulo,666,Alagoas
6436,Rio Largo,666,Alagoas
6437,Roteiro,666,Alagoas
6438,Santa Luzia Do Norte,666,Alagoas
6439,Santana Do Ipanema,666,Alagoas
6440,Santana Do Mundau,666,Alagoas
6441,Sao Bras,666,Alagoas
6442,Sao Jose Da Laje,666,Alagoas
6443,Sao Jose Da Tapera,666,Alagoas
6444,Sao Luis Do Quitunde,666,Alagoas
6445,Sao Miguel Dos Campos,666,Alagoas
6446,Sao Miguel Dos Milagres,666,Alagoas
6447,Sao Sebastiao,666,Alagoas
6448,Satuba,666,Alagoas
6449,Senador Rui Palmeira,666,Alagoas
6450,Tanque D'arca,666,Alagoas
6451,Taquarana,666,Alagoas
6452,Teotonio Vilela,666,Alagoas
6453,Traipu,666,Alagoas
6454,Uniao Dos Palmares,666,Alagoas
6455,Vicosa,666,Alagoas
6456,Amapa,667,Amapa
6457,Calcoene,667,Amapa
6458,Cutias,667,Amapa
6459,Ferreira Gomes,667,Amapa
6460,Itaubal,667,Amapa
6461,Laranjal Do Jari,667,Amapa
6462,Macapa,667,Amapa
6463,Mazagao,667,Amapa
6464,Oiapoque,667,Amapa
6465,Pedra Branca Do Amapari,667,Amapa
6466,Porto Grande,667,Amapa
6467,Pracuuba,667,Amapa
6468,Santana,667,Amapa
6469,Serra Do Navio,667,Amapa
6470,Tartarugalzinho,667,Amapa
6471,Vitoria Do Jari,667,Amapa
6472,Alvaraes,668,Amazonas
6473,Amatura,668,Amazonas
6474,Anama,668,Amazonas
6475,Anori,668,Amazonas
6476,Apui,668,Amazonas
6477,Atalaia Do Norte,668,Amazonas
6478,Autazes,668,Amazonas
6479,Barcelos,668,Amazonas
6480,Barreirinha,668,Amazonas
6481,Benjamin Constant,668,Amazonas
6482,Beruri,668,Amazonas
6483,Boa Vista Do Ramos,668,Amazonas
6484,Boca Do Acre,668,Amazonas
6485,Borba,668,Amazonas
6486,Caapiranga,668,Amazonas
6487,Canutama,668,Amazonas
6488,Carauari,668,Amazonas
6489,Careiro,668,Amazonas
6490,Careiro Da Varzea,668,Amazonas
6491,Coari,668,Amazonas
